Source, Target, Weights
FaZeBlaze,GeorgeNotFound,107
FaZeBlaze,averagejoewo,145
FaZeBlaze,StableRonaldo_,186
FaZeBlaze,RiceGum,122
Vinesauce,loltyler1,258
Vinesauce,Arcadum,133
Vinesauce,willneff,125
Vinesauce,summit1g,219
Vinesauce,roflgator,153
Vinesauce,Criken,428
Vinesauce,shroud,206
Vinesauce,Calebhart42,107
Vinesauce,EsfandTV,134
Vinesauce,MOONMOON,786
Vinesauce,dunkstream,848
Vinesauce,sneakylol,106
Vinesauce,xQcOW,623
Vinesauce,ChilledChaos,107
Vinesauce,UberHaxorNova,150
Vinesauce,Destiny,160
Vinesauce,Mizkif,334
Vinesauce,nl_Kripp,166
Vinesauce,zackrawrr,122
Vinesauce,Nmplol,189
Vinesauce,Sykkuno,123
Vinesauce,Jinnytty,137
Vinesauce,CallMeCarsonLIVE,147
Vinesauce,pokelawls,168
Vinesauce,Warframe,129
Vinesauce,Quin69,109
Vinesauce,Northernlion,244
Vinesauce,CohhCarnage,278
Vinesauce,Greekgodx,122
Vinesauce,TimTheTatman,129
Vinesauce,Aurateur,126
Vinesauce,Trainwreckstv,192
Vinesauce,HasanAbi,592
Vinesauce,ludwig,414
Vinesauce,GothamChess,110
Vinesauce,sodapoppin,385
Vinesauce,moistcr1tikal,505
Vinesauce,LIRIK,421
Vinesauce,Tomato,717
Vinesauce,PaymoneyWubby,140
Vinesauce,AvoidingThePuddle,181
Vinesauce,NymN,112
Vinesauce,MitchJones,137
Vinesauce,AdmiralBulldog,109
Vinesauce,Maximilian_DOOD,447
Vinesauce,The_Happy_Hob,117
Vinesauce,Maya,127
Vinesauce,Kitboga,390
Vinesauce,Otzdarva,104
Vinesauce,AdmiralBahroo,390
Vinesauce,39daph,172
Vinesauce,GMHikaru,106
Vinesauce,ironmouse,120
Vinesauce,BarbarousKing,111
Vinesauce,Fextralife,135
Vinesauce,Yogscast,237
Vinesauce,SmallAnt,163
loustreams,Ninja,233
loustreams,yamatonjp,106
loustreams,loltyler1,129
loustreams,summit1g,182
loustreams,DrLupo,112
loustreams,Beaulo,104
loustreams,shroud,297
loustreams,WARDELL,102
loustreams,xQcOW,386
loustreams,Mizkif,121
loustreams,daltoosh,1451
loustreams,TenZ,120
loustreams,TSM_ImperialHal,2672
loustreams,epicenter_en1,128
loustreams,Nmplol,108
loustreams,Sykkuno,124
loustreams,g2perkz,120
loustreams,fps_shaka,266
loustreams,TimTheTatman,144
loustreams,Symfuhny,132
loustreams,Doublelift,104
loustreams,Trainwreckstv,199
loustreams,HasanAbi,105
loustreams,Clix,123
loustreams,LuluLuvely,437
loustreams,ShivFPS,1469
loustreams,ludwig,139
loustreams,AriaSaki,104
loustreams,sodapoppin,133
loustreams,LIRIK,118
loustreams,pokimane,112
loustreams,playapex,862
loustreams,Rogue,931
loustreams,Albralelie,449
loustreams,NICKMERCS,209
loustreams,GMHikaru,125
loustreams,SPYGEA,118
loustreams,Genburten,310
loustreams,Rekkles,132
willneff,Ninja,123
willneff,loltyler1,219
willneff,Vinesauce,125
willneff,summit1g,291
willneff,roflgator,554
willneff,DrLupo,115
willneff,Amouranth,121
willneff,shroud,455
willneff,EsfandTV,363
willneff,supertf,114
willneff,MOONMOON,413
willneff,dunkstream,542
willneff,xChocoBars,121
willneff,xQcOW,1078
willneff,Destiny,292
willneff,Mizkif,791
willneff,nl_Kripp,121
willneff,zackrawrr,180
willneff,Nmplol,594
willneff,Sykkuno,175
willneff,Jinnytty,383
willneff,pokelawls,434
willneff,Quin69,149
willneff,Northernlion,804
willneff,peterparkTV,114
willneff,CohhCarnage,185
willneff,Greekgodx,351
willneff,TimTheTatman,167
willneff,notmes,121
willneff,Trainwreckstv,634
willneff,HasanAbi,6170
willneff,ludwig,896
willneff,dakotaz,115
willneff,AriaSaki,107
willneff,GothamChess,568
willneff,sodapoppin,623
willneff,moistcr1tikal,204
willneff,LIRIK,315
willneff,Atrioc,161
willneff,pokimane,274
willneff,melina,138
willneff,neeko,114
willneff,itsHafu,139
willneff,NymN,188
willneff,QuarterJade,141
willneff,MitchJones,299
willneff,Maximilian_DOOD,147
willneff,robcdee,105
willneff,Maya,373
willneff,NICKMERCS,131
willneff,Kitboga,124
willneff,BotezLive,126
willneff,AdmiralBahroo,144
willneff,39daph,416
willneff,GMHikaru,498
willneff,Yogscast,123
willneff,fuslie,176
summit1g,Ninja,2262
summit1g,Xposed,196
summit1g,yamatonjp,232
summit1g,loltyler1,2516
summit1g,Arcadum,144
summit1g,FaZeBlaze,193
summit1g,Vinesauce,219
summit1g,loustreams,182
summit1g,willneff,291
summit1g,PENTA,308
summit1g,LVNDMARK,4927
