Streamer,Viewers*,Community ID
Nissaxter,23288,12
NeverSayYesTwitch,23270,36
wtf_winds123,23175,19
109ace,23165,0
ovotz,23158,74
SofiKimmy,23019,12
FlexZ,23013,42
Criken,22964,3
riotgames,22934,10
ubeka_,22896,38
Gingerliness,22892,31
kengleevargas,22886,83
dangelno,22860,15
phoodu,22811,15
shibuyahal,22741,17
Minos,22708,36
JEFFAOCS,22681,74
mrBlaszka,22588,44
Tomato,22580,3
HAchubby,22575,7
TenhaTV,22545,9
kumikomii,22518,0
P4wnyhof,22461,42
ZEON,22450,38
MANvsGAME,22445,3
Surskity,22433,74
DaigoTheBeasTV,22420,17
IslandGrown,22418,15
esl_csgo_pl,22418,44
nanajam777,22358,0
DessT3,22350,12
LPGjustJohnny,22346,35
cherrypach,22341,0
bnans,22329,2
Esportmaniacos,22308,12
FenoHS,22290,23
patriziomorellato_,22256,32
Glorious_E,22253,31
10000DAYS,22156,38
SZ_Taisheen,22096,17
dogswellfish,22071,0
d_obby,22052,0
Lily_Off_Valley,22039,8
01bd02,22016,0
RiotGamesRU,21988,10
Cachorro1337c,21908,74
Plushys,21869,2
ShnaggyHose,21848,13
failverde,21847,19
TheViper,21841,58
Altair,21835,36
ErenAktan,21815,38
ArQuel,21808,44
PointCrow,21665,51
alelu,21664,17
tteuw,21649,74
projektmelody,21618,3
bbbb87,21614,19
ESL_CSGO_FR,21607,36
teknoyd,21596,32
valorant_kr,21581,0
Giantwaffle,21577,3
BULLSEYE,21554,43
COQTO,21515,36
FattyPillow,21489,61
silphtv,21481,0
Aurateur,21470,51
qSnake,21450,43
MiiKeLMsT,21395,12
Couriway,21342,51
yulla,21322,74
crokeyz,21319,23
NeutrooYT,21307,83
JSmoothHD,21251,42
QuattroAce,21207,31
Pelegrino1993,21171,74
LeBouseuh,21168,36
mlchoins,21159,0
SamSaberi,21149,49
PLKDAMIAN,21135,44
R6EsportsBR2,21135,62
sixwong,21119,19
ZED99_lol,21110,10
iskall85,21092,15
Zemie,21011,13
Putupau,20996,12
Recuerd0p,20987,12
Raeyei,20970,6
Creed,20932,38
lol_cuvee,20914,0
DizzyKitten,20865,8
GeT_RiGhT,20865,58
Andilextv,20829,36
Carlitus,20819,12
Heelmike,20803,13
mortenroyale,20796,35
makataO,20752,43
MoMaN,20719,36
Sydeon,20716,2
flurry1989,20702,0
batora324,20698,17
TANZVERBOT,20673,35
Tylerootd,20673,23
Pun1shers_TV,20632,56
